_id,id,name,description
6788ba25ae1bcc0ad8216547,1369,Модель трусов,Модель трусов
6788ba25ae1bcc0ad8216548,3960,Вид уксуса,Вид уксуса
6788ba25ae1bcc0ad8216549,292,Вид краски,Какой вид краски
6788ba25ae1bcc0ad821654a,5383,Кабель-канал,Кабель-канал (да/нет)
6788ba25ae1bcc0ad821654b,5874,Вид упаковки,Вид упаковки напитка
6788ba25ae1bcc0ad821654c,3713,Ремень безопасности,Ремень безопасности
6788ba25ae1bcc0ad821654d,5420,Вид,Вид подарочной коробки
6788ba25ae1bcc0ad821654e,5370,"Высота в разложенном виде, см","Высота в разложенном виде, см"
6788ba25ae1bcc0ad821654f,1269,Лигатура для,Лигатура для
6788ba25ae1bcc0ad8216550,652,Материал погружной части,Материал погружной части для блендера
6788ba25ae1bcc0ad8216551,273,Металлические направляющие,Используется для лезвий
6788ba25ae1bcc0ad8216552,1091,Тип крепления москитной сетки,Тип крепления москитной сетки
6788ba25ae1bcc0ad8216553,839,Вид установки,Вид установки (для всех) 
6788ba25ae1bcc0ad8216554,350,Тональность,Какая тональность
6788ba25ae1bcc0ad8216555,539,Ширина губок,"Ширина губок тисков, мм"
6788ba25ae1bcc0ad8216556,5601,Особенности кулера,Особенности кулера
6788ba25ae1bcc0ad8216557,1108,Высота звучания,Высота звучания блокфлейты
6788ba25ae1bcc0ad8216558,1284,Вид,Вид оборудования для фильтрации
6788ba25ae1bcc0ad8216559,874,Количество лямок,Количество лямок
6788ba25ae1bcc0ad821655a,278,Ограничительная линейка,Есть или нет ограничительная линейка
6788ba25ae1bcc0ad821655b,1136,Лестница,Лестница
6788ba25ae1bcc0ad821655c,176,Пружинный блок,Наличие пружинного блока в матрасе
6788ba25ae1bcc0ad821655d,7741,Серия,Серия конструктора
6788ba25ae1bcc0ad821655e,929,"Диаметр колеса, дюйм",Диаметр колёс гироскутера и сигвея
6788ba25ae1bcc0ad821655f,663,"Ширина обработки, мм","Ширина обработки, мм"
6788ba25ae1bcc0ad8216560,770,Тип,Тип фартуки и нарукавники для труда
6788ba25ae1bcc0ad8216561,271,Тип индикации,Цифры или штрихи на часах
6788ba25ae1bcc0ad8216562,951,Тип плиты,Тип плиты для посуды
6788ba25ae1bcc0ad8216563,1175,Графический процессор,Графический процессор
6788ba25ae1bcc0ad8216564,529,Автозапуск,Автозапуск или нет
6788ba25ae1bcc0ad8216565,638,Назначение,Назначение папки (канцелярия)
6788ba25ae1bcc0ad8216566,6614,Форма,Форма правила
6788ba25ae1bcc0ad8216567,940,Стиль катания,Стиль катания беговых лыж
6788ba25ae1bcc0ad8216568,173,"Высота, см",Высота любого предмета в см
6788ba25ae1bcc0ad8216569,7739,"Расход воды, л/час","Расход воды, л/час"
6788ba25ae1bcc0ad821656a,161,Форма соски,Форма соски (товары для новорожденных)
6788ba25ae1bcc0ad821656b,876,Количество язычков,Количество язычков
6788ba25ae1bcc0ad821656c,113,Высота профиля,Высота профиля шины
6788ba25ae1bcc0ad821656d,632,Количество визиток на листе,Количество визиток на листе
6788ba25ae1bcc0ad821656e,658,Вид подачи воды,Вид подачи воды в термопотах
6788ba25ae1bcc0ad821656f,120,Диаметр расположения отверстий,"Диаметр окружности, на которой расположены центры крепёжных отверстий автомобильного диска"
6788ba25ae1bcc0ad8216570,695,Температурный режим,Рекомендуемый температурный режим
6788ba25ae1bcc0ad8216571,815,Форма дивана,Форма дивана
6788ba25ae1bcc0ad8216572,440,Наличие амортизаторов,Какая амортизация у товара
6788ba25ae1bcc0ad8216573,1004,Тип радиатора,Тип радиатора
6788ba25ae1bcc0ad8216574,794,Система питания,Система питания электробритвы
6788ba25ae1bcc0ad8216575,1313,Вегетация,Вегетационный период
6788ba25ae1bcc0ad8216576,5385,Назначение,Назначение батутов
6788ba25ae1bcc0ad8216577,777,Отжим,Отжим (да/нет)
6788ba25ae1bcc0ad8216578,5421,"Ресурс, страниц",Ресурс картриджа/тонера в страницах
6788ba25ae1bcc0ad8216579,2477,Материал тента,Материал тента
6788ba25ae1bcc0ad821657a,5705,Вид,Вид липучки
6788ba25ae1bcc0ad821657b,5367,СНПЧ,Система непрерывной подачи чернил
6788ba25ae1bcc0ad821657c,160,Охлаждающий,Охлаждающий прорезыватель (Товары для новорожденных)
6788ba25ae1bcc0ad821657d,644,Форма,Какая форма у сантехники
6788ba25ae1bcc0ad821657e,824,Подъёмный механизм,Подъёмный механизм
6788ba25ae1bcc0ad821657f,1194,Цвет фурнитуры,Цвет фурнитуры
6788ba25ae1bcc0ad8216580,357,Фиксация,Способы фиксации чулок
6788ba25ae1bcc0ad8216581,1143,Тип камеры,Тип камеры
6788ba25ae1bcc0ad8216582,769,Количество цветов,Количество цветов
6788ba25ae1bcc0ad8216583,266,"Толщина, мкм",Толщина в микрометрах
6788ba25ae1bcc0ad8216584,1162,Интерфейс,Интерфейс
6788ba25ae1bcc0ad8216585,366,Покрытие,Чем покрыта дверь
6788ba25ae1bcc0ad8216586,307,Этикеток на листе,Количество этикеток
6788ba25ae1bcc0ad8216587,1030,Ячейки,Ячейки для форм
6788ba25ae1bcc0ad8216588,1312,Тип покрышки,Тип покрышки
6788ba25ae1bcc0ad8216589,5363,Тип котла,Тип котла
6788ba25ae1bcc0ad821658a,743,Тип,"Тип кофеварки, кофемашины"
6788ba25ae1bcc0ad821658b,5718,Вид,Вид
6788ba25ae1bcc0ad821658c,220,Вид уровня,Разновидность уровня 
6788ba25ae1bcc0ad821658d,7145,is_only_raiting_review,is_only_raiting_review
6788ba25ae1bcc0ad821658e,822,Размер в разложенном виде,Размер в разложенном виде (ДхШхВ)
6788ba25ae1bcc0ad821658f,400,Длина рукава,"Длина рукава для блуз, платьев, джемперов"
6788ba25ae1bcc0ad8216590,1118,Наличие столовых приборов,Наличие столовых приборов
6788ba25ae1bcc0ad8216591,1025,Максимальный сварочный ток,"Максимальный сварочный ток, А"
6788ba25ae1bcc0ad8216592,175,Жёсткость,Жёсткость
6788ba25ae1bcc0ad8216593,285,Утолщённые,Восковых карандашей
6788ba25ae1bcc0ad8216594,1319,Тип изделия,Тип изделия электротехнического
6788ba25ae1bcc0ad8216595,1266,Левая рука готовая - голосов,Левая рука готовая - Голосов:
6788ba25ae1bcc0ad8216596,1104,Класс компрессии,Класс компрессии
6788ba25ae1bcc0ad8216597,487,Форма посуды,Посуда для детей
6788ba25ae1bcc0ad8216598,699,Вид зубила,Вид зубила
6788ba25ae1bcc0ad8216599,6893,Вид,Вид товара (прицелы)
6788ba25ae1bcc0ad821659a,1190,Количество датчиков,Количество датчиков парктроники
6788ba25ae1bcc0ad821659b,128,С балдахином,Наличие балдахина у кровати
6788ba25ae1bcc0ad821659c,206,Размер головного убора,Размер шляп и тд
6788ba25ae1bcc0ad821659d,344,Вид секретки,Вид секретки на колесо
6788ba25ae1bcc0ad821659e,906,Вид страховочной системы,Вид страховочной системы
6788ba25ae1bcc0ad821659f,745,Подача пара,Подача пара утюга (да/нет)
6788ba25ae1bcc0ad82165a0,1078,Сорт дерева,Сорт дерева
6788ba25ae1bcc0ad82165a1,534,Тип верёвки,Тип альпинистской верёвки
6788ba25ae1bcc0ad82165a2,152,Строение верха,"Строение верха колготок, чулок"
6788ba25ae1bcc0ad82165a3,1049,Прогиб,Прогиб
6788ba25ae1bcc0ad82165a4,428,Количество персон,Количесто персон для посуды
6788ba25ae1bcc0ad82165a5,637,Тип,Тип канцелярских кнопок
6788ba25ae1bcc0ad82165a6,1279,Тематика конструктора,Тематика конструктора
6788ba25ae1bcc0ad82165a7,747,Количество секций,Количество секций
6788ba25ae1bcc0ad82165a8,222,Количество глазков,Для строительного уровня
6788ba25ae1bcc0ad82165a9,1006,Вид,Вид резьбового фитинга
6788ba25ae1bcc0ad82165aa,8747,Модель,Модель
6788ba25ae1bcc0ad82165ab,1008,Тип,Тип раковины
6788ba25ae1bcc0ad82165ac,164,Тип автокресла,Устройство автокресла
6788ba25ae1bcc0ad82165ad,1098,Магнит,Магнит
6788ba25ae1bcc0ad82165ae,5386,"Высота язычка, мм","Высота язычка, мм"
6788ba25ae1bcc0ad82165af,5368,Система боковой защиты,Система боковой защиты
6788ba25ae1bcc0ad82165b0,1325,Вид торшера,Вид торшера
6788ba25ae1bcc0ad82165b1,922,"Полная мощность, кВт","Полная мощность, кВт"
6788ba25ae1bcc0ad82165b2,453,Страховочный обод,Страховочный обод
6788ba25ae1bcc0ad82165b3,787,Система реверса,Система реверса
6788ba25ae1bcc0ad82165b4,5694,Вид застёжки наволочки,Вид застёжки наволочки
6788ba25ae1bcc0ad82165b5,501,Возраст,Возраст словами
6788ba25ae1bcc0ad82165b6,750,Назначение дисков,Назначение дисков
6788ba25ae1bcc0ad82165b7,182,Набор,В наборе товар или поштучно
6788ba25ae1bcc0ad82165b8,977,С ручками,С ручками
6788ba25ae1bcc0ad82165b9,528,Комбо,Вид видеорегистратора
6788ba25ae1bcc0ad82165ba,143,"В наборе, шт.",Количество товара в наборе (комплекте)
6788ba25ae1bcc0ad82165bb,811,Штанга для плечиков,Штанга для плечиков
6788ba25ae1bcc0ad82165bc,563,Вид сечения,Какое сечение
6788ba25ae1bcc0ad82165bd,228,Количество конфорок,Сколько комфорок у плиты
6788ba25ae1bcc0ad82165be,667,"Наружный диаметр, мм","Наружный диаметр, мм"
6788ba25ae1bcc0ad82165bf,668,"Стандарт (DIN, ГОСТ)","Стандарт (DIN, ГОСТ)"
