"vendor_code","name"
3500359,"Пакет ламинированный, графит, люкс, 14 х 7 х 17 см"
2726749,"Пакет подарочный ""Ёлочные игрушки"", 24 х 20 х 10.2 см"
2726750,"Пакет подарочный ""Подарки Деда Мороза"", 24 х 20 х 10.2 см"
2726751,"Пакет подарочный ""Очаровательные шарики"", 24 х 20 х 10.2 см"
7437152,"Пакет ""Дождь в Париже"", полиэтиленовый с пластиковой ручкой, 38 х 45 см, 100 мкм"
2726752,"Пакет подарочный ""Ассорти из игрушек"", 24 х 20 х 10.2 см"
3500360,"Пакет ламинированный, бежевый, люкс, 14 х 7 х 17 см"
3471298,"Пакет крафт ""Диагональ"", 30 х 10 х 25 см"
4783290,"Пакет подарочный крафтовый вертикальный, упаковка, «Цветы», ML 23 х 27 х 11,5 см"
2726753,"Пакет подарочный ""Рождественские подарки"", 24 х 20 х 10.2 см"
3500358,"Пакет ламинированный синий, люкс, 14 х 7 х 17 см"
7695720,"Пакет подарочный новогодний ламинированный «Жар-птица», ML 23 х 27 х 11,5 см, Новый год"
1712983,"Пакет крафт ""Северная сказка"", 32 х 25 х 11 см, крученая ручка"
1712984,"Пакет крафт ""Северная сказка"", 39 х 32 х 17 см, крученая ручка"
4361534,"Пакет подарочный вертикальный «Веселого Нового Года!», 15 х 17 х 7 см"
2726774,"Пакет подарочный ""Рождественские подарки"", 42.5 х 33 х 10 см"
4361535,"Пакет подарочный вертикальный «Волшебного Нового Года!», 18 х 23 х 8 см"
7183889,"Пакет подарочный, упаковка, «Gifts», 14 х 17 х 7 см"
1717525,"Пакет ламинированный вертикальный «Воздушный праздник», MS 18 × 23 × 8 см"
1717526,"Пакет ламинированный вертикальный «Воздушный праздник», 23 × 27 × 8 см"
1717528,"Пакет ламинированный вертикальный «Золотой подарок», MS 18 × 23 × 8 см"
2726759,"Пакет подарочный ""Ассорти из игрушек"", 36 х 26 х 11.5 см"
2726762,"Пакет подарочный под бутылку ""Заснеженное дерево "", 36 х 12 х 8.5 см"
1717530,"Пакет ламинированный вертикальный «Любимой мамочке», MS 18 × 23 × 8 см"
1717531,"Пакет ламинированный вертикальный «Любимой мамочке», ML 23 × 27 × 8 см"
1720650,"Пакет полиэтиленовый с петлевой ручкой ""Модная компания"", 50х60 см, 60 мкм"
1717533,"Пакет ламинированный вертикальный «Цветочная почта», 18 × 23 × 8 см"
4697565,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
4697566,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
1717535,"Пакет ламинированный вертикальный «Морской», 18 × 23 × 8 см"
4764582,"Пакет подарочный крафтовый горизонтальный, упаковка, Super birthday, L 40 х 31 х 11.5 см"
1717536,"Пакет ламинированный вертикальный «Морской», 23 × 27 × 8 см"
7182440,"Пакет подарочный крафт «Для тебя», зелёный, 22,5 х 23 х 10 см, 1 шт."
1717538,"Пакет ламинированный вертикальный «Подарочки», 18 × 23 × 8 см"
7513848,"Пакет крафт ""Олени"", 32 х 17 х 39 см, крученая ручка"
7513849,"Пакет крафт ""Олени"", 32 х 17 х 39 см, плоская ручка"
9286118,"Пакет подарочный, 12х15х5.5 см, упаковка, Принцессы"
4697567,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
2726767,"Пакет подарочный под бутылку ""Красный шар"", 36 х 12 х 8.5 см"
3500361,"Пакет ламинированный, кирпичный, люкс, 14 х 7 х 17 см"
3500411,"Пакет подарочный ""С наилучшими пожеланиями"", чёрный, люкс, 19,5 х 8,5 х 14,5 см"
1717555,"Пакет подарочный ламинированный вертикальный, упаковка, «Забавные коты», MS 18 х 23 х 10 см"
4697588,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
1717559,"Пакет ламинированный вертикальный «С Днем Рождения», 23 × 27 × 8 см"
9673669,"Пакет фасовочный БОПП, с донной складкой, ""Снег"" 9*19 см. Новый год"
1717562,"Пакет ламинированный вертикальный «Роскошь золота», 18 × 23 × 8 см"
1717564,"Пакет ламинированный вертикальный «Для бабушки с любовью», MS 18 × 23 × 8 см"
1720657,"Пакет ""Колорит"", полиэтиленовый с петлевой ручкой, 35х28 см, 55 мкм"
2726768,"Пакет подарочный под бутылку ""Снегири"", 36 х 12 х 8.5 см"
4697564,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
10331359,"Пакет подарочный ""Птичка в цветах"",  18 х 22,3 х 10 см"
1717565,"Пакет ламинированный вертикальный «Для бабушки с любовью», ML 23 × 27 × 8 см"
2726775,"Пакет подарочный ""Новогодний узор"", 32 х 26 х 12 см"
9719883,"Новый год. Пакет подарочный, 61х46х20 см, упаковка, Человек-паук"
1720658,"Пакет ""Розовое настроение"", полиэтиленовый с петлевой ручкой, 35х28 см, 55 мкм"
1720659,"Пакет ""Шикарный изумруд"", полиэтиленовый с петлевой ручкой, 35 х 28 см, 55 мкм"
2726777,"Пакет подарочный под бутылку ""Зимний натюрморт, 36 х 12 х 8.5 см"
1717566,"Пакет ламинированный вертикальный «Самой любимой дочке», 18 × 23 × 8 см"
4697574,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
1717567,"Пакет ламинированный вертикальный «Самой любимой дочке», ML 23 × 27 × 8 см"
1717575,"Пакет ламинированный вертикальный «Акварельные цветы», MS 18 × 23 × 8 см"
1717576,"Пакет ламинированный вертикальный «Акварельные цветы», ML 23 × 27 × 8 см"
1717577,"Пакет ламинированный вертикальный «Сладкие грезы», 12 × 15 × 5,5 см"
1717579,"Пакет ламинированный вертикальный «Сладкие грёзы», ML 23 × 27 × 8 см"
4320186,"Пакет подарочный новогодний крафт «Волшебство», 25 х 22 х 12 см, Новый год"
4697553,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
3500412,"Пакет подарочный ""С наилучшими пожеланиями"", голубой, люкс, 19,5 х 8,5 х 14,5 см"
1717580,"Пакет ламинированный вертикальный «Дорогому сыну», MS 18 × 23 × 8 см"
4243608,"Пакет подарочный вертикальный, упаковка, «Космос внутри», MS 18 х 23 х 10 см"
3500413,"Пакет подарочный ""С наилучшими пожеланиями"", люкс, 19,5 х 8,5 х 14,5 см"
3500370,"Пакет ламинированный, голубой, люкс, 14 х 7 х 17 см"
3500380,"Пакет ламинированный ""Звёзды"", люкс, 14 х 7 х 17 см"
1717581,"Пакет ламинированный вертикальный «Дорогому сыну», ML 23 × 27 × 8 см"
1717582,"Пакет ламинированный вертикальный «Нежные розы», S 11 × 14 × 5,5 см"
1717583,"Пакет ламинированный вертикальный «Нежные розы», MS 18 × 23 × 8 см"
4697559,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
4546564,"Подарочная коробка ""Лапландия"", синий, 21 х 8 х 23 см"
1717585,"Пакет ламинированный вертикальный «Восторженный друг», S 11 × 14 × 5,5 см"
3500448,"Пакет подарочный, люкс, 50 х 18 х 38 см"
9865868,"Пакет фасовочный БОПП, ""Почта любви"" 9*19 см"
1717586,"Пакет ламинированный вертикальный «Восторженный друг», MS 18 × 23 × 8 см"
4546565,"Подарочная коробка ""ШокоЛоко"", 21 х 8 х 23 см"
3500460,"Пакет крафт ""Париж"", люкс, розовый, 26,5 х 11 х 35 см"
1717592,"Пакет ламинированный вертикальный «Любимой маме», ML 23 × 27 × 8 см"
1717714,"Пакет ""Коробка елочных игрушек"", полиэтиленовый с петлевой ручкой, 38x45 см, 45 мкм"
1717715,"Пакет ""Бокалы и красный шар"", полиэтиленовый с петлевой ручкой, 36х45 см, 45 мкм"
1717716,"Пакет ""Дедушка Мороз и Снегурочка"", полиэтиленовый с петлевой ручкой, 36х45 см, 45 мкм"
1717717,"Пакет ""Снегири на ветке"", полиэтиленовый с петлевой ручкой, 36х45 см, 45 мкм"
1720647,"Пакет ""Цветы мастера"", полиэтиленовый с вырубной ручкой, 45х38 см, 60 мкм"
1720648,"Пакет ""Маска"", полиэтиленовый с вырубной ручкой, 45х38 см, 60 мкм"
4697568,"Пакет полиэтиленовый с вырубной, усиленной ручкой, 31 х 40 см, 60 мкм"
1717927,"Пакет крафт ""Радуга"" белая, 25 х 11 х 32 см, с плоскими ручками"
2728124,"Пакет ""Старинные часы"", полиэтиленовый с вырубной ручкой, 45 х38 см, 60 мкм"
1720652,"Пакет ""Перфекто Дарк Грин"", полиэтиленовый с петлевой ручкой, 46х42 см, 55 мкм"
1720653,"Пакет ""Перфекто Блю"", полиэтиленовый с петлевой ручкой, 46х42 см, 55 мкм"
9824549,"Пакет ""Задира"", полиэтиленовый с пластиковой ручкой, 37х34см. Новый год"
2737901,"Пакет ""Имбирный пряник"", мягкий пластик, 30 х 30 см, 150 мкм"
1720655,"Пакет ""Перфекто Барокко"", полиэтиленовый с петлевой ручкой, 46х42 см, 55 мкм"
1720656,"Пакет ""Жемчужный бант"", полиэтиленовый с петлевой ручкой, 35х28 см, 55 мкм"
3500414,"Пакет подарочный ""С наилучшими пожеланиями"", голубой, люкс, 19,5 х 8,5 х 14,5 см"
3500415,"Пакет подарочный, люкс, 19,5 х 8,5 х 14,5 см"
3500416,"Пакет подарочный, люкс, 19,5 х 8,5 х 14,5 см"
6436270,"Пакет подарочный новогодний крафтовый вертикальный «Подарок от Деда мороза», M 26 х 30 х 9 см, Новый год"
9412182,"Пакет подарочный ламинированный горизонтальный, упаковка, «Любимый воспитатель», M 30 х 26 х 9 см"
9827667,"Пакет ""Радость праздника"", полиэтиленовый с петлевой ручкой, 42х38 см. Новый год"
3500417,"Пакет подарочный, люкс, 19,5 х 8,5 х 14,5 см"
10186213,"Пакет  под бутылку «Сollection»,  12 x 36 x 9 см"
